제목,링크,내용
CJ대한통운, 군포 지역 <b>어린이 보호구역</b> '노란발자국' 부착,http://www.newslock.co.kr/news/articleView.html?idxno=46625,사진 대한통운 제공 뉴스락 대한통운은경기도 군포시 어린이 보호구역 횡단보도에 노란 발자국을 설치하며 안전한 등하굣길 만들기에 나선다고 일 밝혔다 대한통운은굿네이버스와 함께 군포 지역 내 
CJ대한통운, 군포지역 <b>어린이</b> 등하굣길 ‘노란발자국’ 부착,https://www.dnews.co.kr/uhtml/view.jsp?idxno=202109281127249540270,개소에 정지선 보호구역 표지판과 함께 설치 대한통운이 경기도 군포시 어린이 보호구역 횡단보도에 노란 발자국을 설치하며 어린이들을 위한 안전한 등하굣길 만들기에 나섰다 일 대한통운에 따르면 
CJ대한통운, <b>어린이</b> 등하굣길 안전 책임진다,https://www.ebn.co.kr/news/view/1501921/?sc=Naver,대한통운은 굿네이버스와 함께 군포 지역 내 어린이집 초등학교 등 어린이 보호구역 횡단보도 개소에 교통사고 예방을 돕는 노란 발자국을 설치한다고 일 밝혔다 설치 작업은 다음달 중순까지 순차 진행될 
CJ대한통운, <b>어린이</b> 교통사고 예방 앞장선다…횡단보도 ‘노란발자국’ 설치,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=029&aid=0002698378,대한통운은 경기도 군포시 어린이 보호구역 횡단보도에 노란발자국을 설치하고 어린이들을 위한 안전한 등하굣길 만들기에 나섰다고 일 밝혔다 이를위해 대한통운은 굿네이버스와 함께 군포 지역 내 어린이집 
DB손해보험, <b>어린이</b> 교통안전 지원 협약 체결,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=030&aid=0002971654,손해보험대표 김정남은 초록우산어린이재단회장 이제훈과 어린이보호구역 교통안전을 위한 옐로카펫 설치와 소외계층 지원을 위한 사랑 나눔 봉사 협약을 체결했다고 일 밝혔다 손해보험이 추진하는 옐로카펫 
금호타이어, 전국 초등학생 대상 '<b>어린이</b> 교통안전교육' 실시,http://www.businesskorea.co.kr/news/articleView.html?idxno=77505,금호타이어에서 제작한 워크북에는 안전한 보행법 어린이 보호구역에서 지켜야 할 안전수칙 교통안전 표지판 바퀴 달린 놀이기구의 안전한 이용법 도전 안전 골든벨퀴즈 내가 만드는 안전한 학교 가는 길 
교통안전지킴이, <b>어린이</b> 등하굣길 우리가 지킨다!,http://www.gukjenews.com/news/articleView.html?idxno=2317354,한편 어린이 보호구역내 교통사고 발생률이 줄이기 위해 교통안전표지판 설치 보호구역 노면 표시 무인교통 단속장비 설치 과속 방지턱 설치 스마트 횡단보도 설치 등을 추진중이다
제주경찰청, <b>어린이</b> 교통안전 지도제작 공모전,https://news.bbsi.co.kr/news/articleView.html?idxno=3045567,제주경찰청 관계자는 이번 공모전을 계기로 운전자들은 어린이 보호구역은 절대적 교통안전확보 구역 어린이는 움직이는 빨간 신호등이라는 사실을 잊지 말고 안전운전을 해 달라고 당부했습니다 한편 최근 
박상준 메디컬아이피 대표, <b>어린이</b> 교통안전 챌린지 동참,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=105&oid=009&aid=0004857047,어린이 교통안전 릴레이 챌린지는 행정안전부와 교육부 주최로 어린이 보호구역 내 사고 예방과 어린이 교통안전을 최우선으로 하는 운전 문화 정착을 위해 마련된 공익 캠페인이다 박 대표는 일단 멈춤 이쪽 
&quot;영주 <b>어린이</b> 등하굣길, 우리가 지킨다&quot;,http://www.dkilbo.com/news/articleView.html?idxno=345261,한편 영주시는 어린이 보호구역내 교통사고 발생률이 줄이기 위해 교통안전표지판 설치 보호구역 노면 표시 무인교통 단속장비 설치 과속 방지턱 설치 스마트 횡단보도 설치 등을 추진중이며 경찰서 
