제목,링크,내용
서울우유, 내달 우윳값 5.4% 올린다…빵 과자 <b>커피</b> 등 줄줄이 오를 듯,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=029&aid=0002697760,우유 가격 인상은 우유를 원료로 하는 빵 과자 아이스크림 커피 등 다른 식품 가격에도 영향을 미쳐 또한 우유를 원료로 쓰는 빵 과자 커피 아이스크림 등 다른 식품 가격도 시차를 두고 줄줄이 오를 것으로 
&quot;컵으로 즐기자&quot; 이디야<b>커피</b>, 컵<b>커피</b> 출시 후 누적 판매 300만개 돌파,https://www.busaneconomy.com/news/articleView.html?idxno=258822,이디야커피 컵커피 종 이디야 커피 제공 이디야커피는 지난 월 출시한 컵커피가 출시 개월여만에 누적 판매 만개 판매됐다고 일 밝혔다 컵커피는 이디야커피의 자체 로스팅 공장 드림팩토리에서 특허출원 된 
사천시친환경미생물발효연구재단, G4000 발효<b>커피</b> 개발·출시,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=082&aid=0001120407,사천시친환경미생물발효연구재단이 개발 출시한 발효커피  제품 사천시 제공 사천시친환경미생물발효연구재단이 브루뱅크와 공동으로 미생물 종균과 동아추출물을 이용 생원두를 발효시킨 발효커피 를 
이디야<b>커피</b>-다날 MOU, 페인코인 결제서비스 도입,http://www.newsworks.co.kr/news/articleView.html?idxno=572283,이디야커피가 다날과 업무협약식을 진행했다고일 밝혔다 이디야커피는 협약으로 오는일부터 페이코인 결제 서비스를 도입하며 고객들에게 새로운 블록체인 기반 결제 경험을 선사한다 이디야커피의 모바일 
이마트24, 매월 24일 ‘이프레쏘 데이’…원두<b>커피</b> 100원,http://www.newsway.co.kr/news/view?tp=1&ud=2021092309031069184,이마트는 매월 일 하루 동안 원두커피를 원에 제공하는 이프레쏘 데이 행사를 진행한다고 일 매장에서 바리스타가 직접 커피를 제조해주는 바리스타 커피도 동일한 이벤트가 진행된다 이마트가 
이디야<b>커피</b>, 컵<b>커피</b> 누적 판매 300만개 돌파,http://www.hg-times.com/news/articleView.html?idxno=233079,이디야커피는 지난 월 출시한 컵커피가 개월여만에 누적 판매 만개를 달성했다고 일 밝혔다 이디야커피에 따르면 컵커피는 이디야커피의 자체 로스팅 공장 드림팩토리에서 특허출원 된 로스팅 기법으로 듀얼 
이디야<b>커피</b>, 컵<b>커피</b> 출시 후 누적 판매 300만개 돌파,http://www.newsworker.co.kr/news/articleView.html?idxno=130143,이디야커피가 지난 월 출시한 컵커피가 소비자에게 꾸준한 인기를 끌며 개월여만에 누적 판매 만개를 달성했다 이디야커피가 지난 월 출시한 컵커피는 이디야커피의 자체 로스팅 공장 드림팩토리에서 특허출원 된 
세계 3위 <b>커피</b> 강국 '홈카페족'이 키웠다,https://www.etoday.co.kr/news/view/2063949,이투데이유현희 기자 | 업계 국내 커피시장이 코로나에도 성장세를 기록 중이다 성인 인당 연간 커피 소비량은 평균 잔에 달하며 시장 규모는 억 달러에 이른다 이는 미국 중국에 이어 세계 위권이다 
'토샷추'를 편의점에서…이디야 컵<b>커피</b>, 누적 300만개 판매,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=215&aid=0000986158,이디야커피는 지난 월 출시된 컵커피가 만개 이상 팔려나갔다고 일 밝혔다 출시 개월 여만의 성과다 이디야 컵커피는 이디야커피의 자체 로스팅 공장 드림팩토리에서 특허 출원된 로스팅 기법으로 듀얼 로스팅한 
메가<b>커피</b>, 5년 8개월 만에 1500호점…&quot;2년 뒤 3000호점까지 확장&quot;,http://www.enewstoday.co.kr/news/articleView.html?idxno=1513768,메가커피가 서울 중랑구 면목동에 번째 매장인 면목역점을 오픈하고 매장 현판 전달 및 간단한 기념 촬영이 진행했다 사진메가엠지씨커피 메가엠지씨커피가 가맹사업을 시작한 지 년 개월 만에 
이디야<b>커피</b>, 다날과 업무협약 체결…&quot;페이코인 결제 가능&quot;,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=008&aid=0004648063,이디야커피가 통합결제 비즈니스 전문기업 다날과 업무협약식을 진행했다고 일 밝혔다 이디야커피는 이번 협약으로 오는 일부터 페이코인 결제 서비스를 도입한다 이디야커피의 모바일 멤버쉽 서비스 이디야멤버스 
<b>커피</b>‧차‧맥주 사로잡은 콜드브루의 ‘무한변신’ 눈길,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=119&aid=0002531885,대부분의 주요 커피전문점이 콜드브루 음료 메뉴를 선보이고 있을 뿐 아니라 얼죽아얼어죽어도 아이스 한때 커피 마니아층만 즐겨 찾던 콜드브루 커피는 이제 아이스 아메리카노와 같이 누구나 즐겨 마시는 메인 
우유값마저 5.4% 올라···빵·<b>커피</b> 등 덩달아 뛸듯,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=011&aid=0003965226,우유 값 상승에 따라 베이커리커피 업계 등의 도미노 가격 인상도 우려된다 커피 업계의 한 관계자는 라테 등 우유가 들어가는 커피 음료의 경우 우유 공급가가 인상되면 자연스럽게 판매 가격을 인상할 수밖에 
이디야<b>커피</b>, 컵<b>커피</b> 출시 후 누적 판매 300만개 돌파,http://www.betanews.net:8080/article/1281415.html,이디야커피가 지난 월 출시한 컵커피가 소비자에게 꾸준한 인기를 끌며 개월여만에 누적 판매 만개를 달성하며 시장에서 큰 인기를 얻고 있다 이디야커피가 지난 월 출시한 컵커피는 이디야커피의 자체 로스팅 공장 
닥터바리스타 방탄<b>커피</b>, 캐시워크 돈버는 퀴즈 등장 ‘문제와 정답은?’,https://news.mtn.co.kr/newscenter/news_viewer.mtn?gidx=2021092313401814060,닥터바리스타 방탄커피가 캐시워크 돈버는 퀴즈로 등장했다일 캐시워크 돈버는 퀴즈에는 의사가 직접 만든 닥터바리스타 방탄커피 고객 찐후기 늘 식욕 주체가 안되어서 우울증에 스트레스까지 와서 힘들었는데 
이디야<b>커피</b> 컵<b>커피</b>, 인기 고공행진...<b>커피</b> 본연 풍미 특징,http://theviewers.co.kr/View.aspx?No=2045902,뷰어스 심영범 기자 이디야커피가 지난 월 출시한 컵커피가 소비자들 사이에서 큰 인기를 끌고 있다 이디야커피는 컵커피가 출시 개월여만에 누적 판매 만개를 달성했다고 일 밝혔다 이디야커피 컵커피는 
이디야<b>커피</b>, 다날과 업무협약 체결...페이코인 결제 서비스 시작,http://theviewers.co.kr/View.aspx?No=2046296,뷰어스 심영범 기자 이디야커피가 페인코인 결제 서비스 도입을 알렸다 이디야커피는 통합결제 비즈니스 전문기업 다날과 업무협약식을 진행했다고 일 밝혔다 업무협약식에는 이디야커피 마케팅본부 김주예 
매달 24일 만나는 이마트24 100원 <b>커피</b>,http://www.smedaily.co.kr/news/articleView.html?idxno=214124,사진이마트 이마트는 지난 월부터 원두커피를 알리고자 매월 일 하루 동안 원두커피를 원에 제공하는 파격적인 이벤트를 진행하고 있다 실제로 이프레쏘를 원에 판매한 날 원두커피 매출을 확인한 결과 
이디야<b>커피</b> 페이코인 결제 서비스 도입,https://www.ebn.co.kr/news/view/1501500/?sc=Naver,이디야커피는 통합결제 비즈니스 전문기업 다날과 업무협약식을 진행했다고 일 밝혔다 이디야커피는 이번 협약으로 오는 일부터 페이코인 결제 서비스를 도입하며 고객들에게 새로운 블록체인 기반 결제 경험을 
메가<b>커피</b>, 1500호점 돌파…국내 <b>커피</b> 프랜차이즈 2번째,http://www.cstimes.com/news/articleView.html?idxno=475234,메가엠지씨커피이하 메가커피가 호점을 돌파했다 가맹사업을 시작한 지 년 개월 만에 이룬 성과다 메가커피는 지난 일 서울 중랑구 면목동에 번째 매장인 면목역점을 오픈했다 사회적 거리두기로 
